REGION,Grupos de edad,2020,2021,2022,2023
Caldas,70-74,34362,35961,37643,39424
Caldas,75-79,22953,24269,25626,27025
Caldas,80-84,13912,14652,15486,16381
Caldas,65-84,118140,123873,129710,135619
Caldas,85-89,7791,8135,8515,8948
Caldas,90-94,3959,4072,4208,4363
Caldas,95-99,1668,1717,1791,1862
Caldas,85-99,13418,13924,14514,15173
Caldas,100-120,481,527,540,561
Caquetá,Todas,410521,414841,419275,423857
Caquetá,01-04,40354,40117,39930,39797
Caquetá,05-09,41110,40872,40654,40471
Caquetá,10-14,41246,41214,41128,41020
Caquetá,05-14,82356,82086,81782,81491
Caquetá,15-19,39832,40046,40237,40382
Caquetá,20-24,36424,36789,37096,37366
Caquetá,25-29,33321,33758,34182,34605
Caquetá,30-34,29791,30355,30972,31591
Caquetá,35-39,27044,27429,27807,28211
Caquetá,40-44,24000,24551,25112,25671
Caquetá,15-44,190412,192928,195406,197826
Caquetá,45-49,21317,21510,21800,22211
Caquetá,50-54,19473,19725,19916,20052
Caquetá,55-59,16634,17122,17581,17974
Caquetá,60-64,13091,13620,14135,14691
Caquetá,45-64,70515,71977,73432,74928
Caquetá,65-69,9735,10186,10669,11148
Caquetá,70-74,6964,7212,7493,7814
Caquetá,75-79,4675,4848,5038,5236
Caquetá,80-84,2806,2856,2940,3045
Caquetá,65-84,24180,25102,26140,27243
Caquetá,85-89,1551,1540,1538,1551
Caquetá,90-94,763,728,713,703
Caquetá,95-99,316,297,278,262
Caquetá,85-99,2630,2565,2529,2516
Caquetá,100-120,74,66,56,56
Cauca,Todas,1491937,1504044,1516018,1528076
Cauca,01-04,118607,117872,117089,116130
Cauca,05-09,120544,120608,120728,120925
Cauca,10-14,124343,123215,122380,121831
Cauca,05-14,244887,243823,243108,242756
Cauca,15-19,132219,130156,128164,126370
Cauca,20-24,134433,134171,133428,132277
Cauca,25-29,125088,126991,128490,129544
Cauca,30-34,113319,114437,115975,117932
Cauca,35-39,107641,108341,108863,109455
Cauca,40-44,94616,97684,100409,102640
Cauca,15-44,707316,711780,715329,718218
Cauca,45-49,81210,82659,84554,86908
Cauca,50-54,75028,75838,76625,77410
Cauca,55-59,68328,69310,70183,71025
Cauca,60-64,57463,59290,61019,62633
Cauca,45-64,282029,287097,292381,297976
Cauca,65-69,45601,47071,48638,50261
Cauca,70-74,34567,35837,37124,38441
Cauca,75-79,24469,25341,26258,27236
Cauca,80-84,16133,16627,17179,17773
Cauca,65-84,120770,124876,129199,133711
Cauca,85-89,9894,10052,10262,10512
Cauca,90-94,5439,5461,5492,5551
Cauca,95-99,2361,2409,2460,2495
Cauca,85-99,17694,17922,18214,18558
Cauca,100-120,634,674,698,727
Cesar,Todas,1295387,1322466,1341697,1359719
Cesar,01-04,129669,130463,130129,129467
Cesar,05-09,128437,129862,130591,131215
Cesar,10-14,125166,126436,127168,127794
Cesar,05-14,253603,256298,257759,259009
Cesar,15-19,120576,121601,122021,122467
Cesar,20-24,114665,116264,116707,116877
Cesar,25-29,109145,111060,111848,112486
Cesar,30-34,98793,102018,104351,106349
Cesar,35-39,88346,90806,92679,94556
Cesar,40-44,77997,80388,82407,84386
Cesar,15-44,609522,622137,630013,637121
Cesar,45-49,68410,70012,71513,73206
Cesar,50-54,60589,62280,63578,64663
Cesar,55-59,50842,52696,54322,55863
Cesar,60-64,39499,41480,43385,45246
Cesar,45-64,219340,226468,232798,238978
Cesar,65-69,30745,31738,32803,34096
Cesar,70-74,22126,23510,24777,25886
Cesar,75-79,13978,14783,15651,16595
Cesar,80-84,8297,8745,9210,9729
Cesar,65-84,75146,78776,82441,86306
Cesar,85-89,4534,4707,4899,5124
Cesar,90-94,2248,2295,2338,2388
Cesar,95-99,985,999,1007,1021
Cesar,85-99,7767,8001,8244,8533
Cesar,100-120,340,323,313,305
Córdoba,Todas,1828947,1844076,1856496,1868166
Córdoba,01-04,164745,163989,162486,160543
Córdoba,05-09,163222,163740,164110,164444
Córdoba,10-14,161194,161146,161059,161053
Córdoba,05-14,324416,324886,325169,325497
Córdoba,15-19,159081,158356,157570,156958
Córdoba,20-24,151860,151837,151294,150502
Córdoba,25-29,141158,142209,142706,142920
Córdoba,30-34,128469,130001,131498,133053
Córdoba,35-39,121071,121743,122232,122777
Córdoba,40-44,112351,113722,114942,116017
Córdoba,15-44,813990,817868,820242,822227
Córdoba,45-49,104765,105036,105510,106362
Córdoba,50-54,99069,99968,100483,100657
Córdoba,55-59,87449,89355,90983,92378
Córdoba,60-64,71806,74143,76401,78650
