Boyacá,Pajarito,2.390,2.400,2.414
Boyacá,Panqueba,1.717,1.702,1.697
Boyacá,Pauna,7.185,7.198,7.212
Boyacá,Paya,2.593,2.616,2.635
Boyacá,Paz de Río,4.285,4.228,4.198
Boyacá,Pesca,6.852,6.765,6.730
Boyacá,Pisba,1.763,1.779,1.793
Boyacá,Puerto Boyacá,46.736,47.600,48.271
Boyacá,Quípama,4.889,4.939,4.982
Boyacá,Ramiriquí,9.887,9.988,10.076
Boyacá,Ráquira,7.877,7.958,8.028
Boyacá,Rondón,2.407,2.384,2.373
Boyacá,Saboyá,13.588,13.728,13.849
Boyacá,Sáchica,5.452,5.578,5.677
Boyacá,Samacá,18.298,18.588,18.818
Boyacá,San Eduardo,1.701,1.676,1.660
Boyacá,San José de Pare,4.988,4.989,4.999
Boyacá,San Luis de Gaceno,5.499,5.476,5.473
Boyacá,San Mateo,3.332,3.204,3.131
Boyacá,San Miguel de Sema,3.009,3.006,3.011
Boyacá,San Pablo de Borbur,6.608,6.664,6.716
Boyacá,Santana,7.565,7.643,7.710
Boyacá,Santa María,3.559,3.518,3.498
Boyacá,Santa Rosa de Viterbo,13.066,13.205,13.325
Boyacá,Santa Sofía,3.179,3.195,3.212
Boyacá,Sativanorte,2.221,2.177,2.153
Boyacá,Sativasur,1.097,1.100,1.105
Boyacá,Siachoque,6.729,6.747,6.774
Boyacá,Soatá,9.066,8.908,8.832
Boyacá,Socotá,7.298,7.231,7.211
Boyacá,Socha,7.938,8.018,8.086
Boyacá,Sogamoso,127.235,129.346,131.105
Boyacá,Somondoco,2.910,2.887,2.880
Boyacá,Sora,3.019,3.050,3.077
Boyacá,Sotaquirá,8.162,8.237,8.305
Boyacá,Soracá,5.954,6.015,6.068
Boyacá,Susacón,2.717,2.704,2.704
Boyacá,Sutamarchán,6.092,6.164,6.228
Boyacá,Sutatenza,4.233,4.224,4.222
Boyacá,Tasco,5.882,5.823,5.792
Boyacá,Tenza,3.851,3.828,3.821
Boyacá,Tibaná,9.051,9.085,9.119
Boyacá,Tibasosa,12.940,13.196,13.396
Boyacá,Tinjacá,3.266,3.313,3.351
Boyacá,Tipacoque,3.323,3.299,3.290
Boyacá,Toca,8.767,8.831,8.893
Boyacá,Togüí,4.335,4.330,4.335
Boyacá,Tópaga,3.617,3.660,3.697
Boyacá,Tota,5.179,5.206,5.233
Boyacá,Tununguá,1.540,1.559,1.576
Boyacá,Turmequé,6.118,6.131,6.156
Boyacá,Tuta,8.266,8.369,8.461
Boyacá,Tutazá,2.040,2.037,2.039
Boyacá,Úmbita,7.530,7.534,7.552
Boyacá,Ventaquemada,15.706,15.920,16.093
Boyacá,Viracachá,2.837,2.817,2.809
Boyacá,Zetaquira,4.629,4.621,4.625
Caldas,Manizales,434.403,440.608,446.160
Caldas,Aguadas,22.823,22.907,23.048
Caldas,Anserma,36.149,36.405,36.691
Caldas,Aranzazu,10.557,10.533,10.556
Caldas,Belalcázar,10.660,10.634,10.650
Caldas,Chinchiná,51.271,51.773,52.267
Caldas,Filadelfia,11.451,11.399,11.400
Caldas,La Dorada,71.905,72.972,74.006
Caldas,La Merced,6.003,5.916,5.882
Caldas,Manzanares,17.928,17.805,17.794
Caldas,Marmato,8.888,9.035,9.167
Caldas,Marquetalia,13.245,13.368,13.490
Caldas,Marulanda,2.607,2.565,2.544
Caldas,Neira,21.024,21.040,21.114
Caldas,Norcasia,6.022,6.075,6.128
Caldas,Pácora,15.325,15.296,15.324
Caldas,Palestina,15.555,15.598,15.681
Caldas,Pensilvania,19.908,19.781,19.755
Caldas,Riosucio,50.775,51.371,51.956
Caldas,Risaralda,10.815,10.640,10.568
Caldas,Salamina,19.467,19.387,19.393
Caldas,Samaná,20.454,20.116,19.967
Caldas,San José,4.835,4.875,4.916
Caldas,Supía,28.642,29.021,29.363
Caldas,Victoria,10.157,10.255,10.351
Caldas,Villamaría,64.652,66.189,67.429
Caldas,Viterbo,12.734,12.780,12.853
Caquetá,Florencia,168.346,170.764,173.011
Caquetá,Albania,4.675,4.491,4.396
Caquetá,Belén de Los Andaquíes,11.021,11.102,11.181
Caquetá,Cartagena del Chairá,30.399,30.778,31.151
Caquetá,Curillo,7.593,7.683,7.772
Caquetá,El Doncello,19.294,19.256,19.284
Caquetá,El Paujíl,18.036,18.251,18.464
Caquetá,La Montañita,14.714,14.662,14.692
Caquetá,Milán,9.723,9.838,9.952
Caquetá,Morelia,3.698,3.718,3.747
Caquetá,Puerto Rico,26.517,26.329,26.282
Caquetá,San José del Fragua,12.797,12.949,13.099
Caquetá,San Vicente del Caguán,50.719,51.714,52.593
Caquetá,Solano,11.214,11.359,11.503
Caquetá,Solita,6.216,6.280,6.346
Caquetá,Valparaíso,6.887,6.968,7.048
Cauca,Popayán,318.059,321.991,325.477
Cauca,Almaguer,18.449,18.263,18.177
Cauca,Argelia,26.144,26.376,26.588
Cauca,Balboa,21.108,21.270,21.437
Cauca,Bolívar,38.048,37.327,36.994
Cauca,Buenos Aires,31.436,31.754,32.049
Cauca,Cajibío,42.014,42.439,42.833
Cauca,Caldono,39.946,40.898,41.770
Cauca,Caloto,30.181,30.143,30.216
Cauca,Corinto,25.286,25.342,25.440
Cauca,El Tambo,53.891,53.840,53.769
Cauca,Florencia,5.202,5.254,5.303
Cauca,Guachené,19.671,19.850,20.020
Cauca,Guapí,27.616,27.619,27.696
Cauca,Inzá,28.879,29.170,29.441
Cauca,Jambaló,17.841,18.240,18.568
Cauca,La Sierra,10.749,10.674,10.655
Cauca,La Vega,24.501,24.542,24.642
Cauca,López de Micay,18.580,18.761,18.932
Cauca,Mercaderes,22.688,22.901,23.097
Cauca,Miranda,31.360,31.733,32.082
Cauca,Morales,38.838,39.516,40.084
Cauca,Padilla,9.937,9.953,9.992
Cauca,Páez,45.776,46.278,46.742
Cauca,Patía,36.848,37.183,37.494
Cauca,Piamonte,8.811,9.004,9.259
Cauca,Piendamó - Tunía,40.818,41.362,41.837
Cauca,Puerto Tejada,41.615,41.648,41.793
Cauca,Puracé,17.272,17.423,17.569
Cauca,Rosas,11.475,11.495,11.539
Cauca,San Sebastián,10.948,11.004,11.062
Cauca,Santander de Quilichao,110.445,111.789,113.001
Cauca,Santa Rosa,5.339,5.354,5.383
Cauca,Silvia,37.337,37.713,38.063
Cauca,Sotara,13.939,14.079,14.210
Cauca,Suárez,31.904,32.226,32.526
Cauca,Sucre,9.489,9.582,9.669
Cauca,Timbío,35.479,35.895,36.287
Cauca,Timbiquí,26.100,26.363,26.607
Cauca,Toribío,35.218,36.016,36.694
Cauca,Totoró,24.558,25.137,25.612
Cauca,Villa Rica,20.693,21.000,21.328
Cesar,Valledupar,490.075,513.685,532.956
Cesar,Aguachica,109.621,114.569,118.652
Cesar,Agustín Codazzi,60.768,62.864,64.676
Cesar,Astrea,20.120,20.617,21.062
Cesar,Becerril,21.611,22.542,23.308
Cesar,Bosconia,40.022,41.825,43.326
Cesar,Chimichagua,34.169,35.269,36.229
Cesar,Chiriguaná,27.694,28.743,29.632
Cesar,Curumaní,37.399,38.617,39.667
Cesar,El Copey,30.159,30.957,31.650
Cesar,El Paso,37.531,39.365,40.858
Cesar,Gamarra,14.973,15.458,15.864
Cesar,González,4.379,4.469,4.568
Cesar,La Gloria,17.150,17.858,18.448
Cesar,La Jagua de Ibirico,46.722,49.052,50.946
Cesar,Manaure Balcón del Cesar,10.047,10.479,10.835
Cesar,Pailitas,18.566,19.183,19.705
Cesar,Pelaya,20.683,21.564,22.291
Cesar,Pueblo Bello,27.007,28.298,29.437
Cesar,Río de Oro,16.837,17.346,17.793
Cesar,La Paz,27.759,28.758,29.603
Cesar,San Alberto,26.247,27.449,28.453
Cesar,San Diego,19.022,19.818,20.470
Cesar,San Martín,26.674,27.823,28.769
Cesar,Tamalameque,15.339,15.790,16.189
Córdoba,Montería,490.935,498.858,505.334
Córdoba,Ayapel,46.968,47.057,47.247
Córdoba,Buenavista,21.078,21.274,21.451
Córdoba,Canalete,15.353,15.385,15.437
Córdoba,Cereté,105.815,107.234,108.409
Córdoba,Chimá,17.529,17.738,17.905
Córdoba,Chinú,47.917,48.323,48.694
Córdoba,Ciénaga de Oro,59.086,59.871,60.521
Córdoba,Cotorra,19.041,19.315,19.549
Córdoba,La Apartada,14.866,15.058,15.218
Córdoba,Lorica,113.909,114.666,115.461
Córdoba,Los Córdobas,18.717,19.038,19.314
Córdoba,Momil,19.590,19.876,20.117
Córdoba,Montelíbano,81.641,83.908,85.885
Córdoba,Moñitos,29.833,30.242,30.580
Córdoba,Planeta Rica,64.205,64.465,64.776
Córdoba,Pueblo Nuevo,35.655,36.112,36.486
Córdoba,Puerto Escondido,23.649,24.036,24.364
Córdoba,Puerto Libertador,41.873,42.835,43.573
Córdoba,Purísima de La Concepción,17.206,17.411,17.587
Córdoba,Sahagún,107.636,109.052,110.233
Córdoba,San Andrés de Sotavento,48.610,48.215,48.042
Córdoba,San Antero,33.878,34.520,35.035
Córdoba,San Bernardo del Viento,37.007,37.052,37.075
Córdoba,San Carlos,26.954,27.174,27.368
